bear_id,date,num_points,centroid_x,centroid_y,min_x,max_x,min_y,max_y,sex,age,season,total_distance,avg_speed
Bear10,2012-11-25,21,423967.0382047619,683313.1850380952,422363.4716,425770.8593,682830.862,684302.7807,M,A,Winter sleep,4136.328720574814,206.8164360287407
Bear10,2012-11-26,23,425241.2766782608,683833.9830608696,422404.2848,425833.5983,682246.0022,684338.1029,M,A,Winter sleep,4925.512337800801,223.88692444549096
Bear10,2012-11-27,19,420372.1871052632,684020.9296631579,419802.9208,421648.778,683065.5084,684869.2774,M,A,Winter sleep,4472.823630803177,248.49020171128763
Bear10,2012-11-28,16,420386.0176875,684409.4539249999,419749.3727,421745.9158,682872.2096,684830.3286,M,A,Winter sleep,3899.0003472857466,259.93335648571644
Bear10,2012-11-29,24,419979.7775708333,684276.4343666666,419584.4442,422479.884,682943.3133,685019.4596,M,A,Winter sleep,4437.0339630351355,192.9145201319624
Bear10,2012-12-01,24,422344.9161208334,682916.8938958333,422038.4382,422520.3035,682627.7113,683034.3967,M,A,Winter sleep,1647.5746414747396,71.6336800641191
Bear10,2012-12-06,21,419752.5320952382,684816.1126285715,419748.4606,419756.408,684808.5342,684830.0688,M,A,Winter sleep,90.20971070721141,4.510485535360571
Bear10,2012-12-09,11,419740.45252727275,684841.2171636365,419700.9099,419759.1882,684833.4313,684850.5142,M,A,Winter sleep,225.8218271698151,22.58218271698151
Bear10,2012-12-10,9,419746.15855555556,684840.4745111112,419737.1082,419762.2499,684837.2347,684842.8338,M,A,Winter sleep,54.875404860546546,6.859425607568318
Bear10,2012-12-11,14,419741.11921428575,684836.0083571429,419721.6008,419772.5851,684824.6763,684849.3091,M,A,Winter sleep,174.48915325245133,13.422242557880871
Bear10,2012-12-20,9,419732.2732,684841.3543222222,419676.1249,419762.0848,684804.1331,684884.0055,M,A,Winter sleep,246.4967972831348,30.81209966039185
Bear10,2012-12-31,14,419724.58477857144,684837.7818,419571.6067,419755.3084,684801.2963,684862.1906,M,A,Winter sleep,531.1359197159709,40.85660920892084
Bear10,2013-01-01,10,419737.65965,684839.11569,419719.4626,419749.1945,684823.2683,684848.8814,M,A,Winter sleep,77.85733405589399,8.650814895099332
Bear10,2013-04-01,20,419934.406505,680962.56006,416914.5863,422399.4823,680530.9894,682405.5762,M,A,Den exit and reproduction,6714.233191418254,353.3806942851713
Bear10,2013-04-03,24,426352.04349999997,684156.7589916666,425359.9437,427106.4708,683757.3892,684930.0275,M,A,Den exit and reproduction,5146.358816765195,223.75473116370412
